source_file,topic,domain,priority_max,intent_count,keyword_count,question_count,canonical_id,cluster,content_type,action,route_candidate,coordination,source_urls
verified,الحساسية للملابس والأصوات واللمس,التكامل الحسي,89,40,20,20,sensory-sensitivities,sensory-processing,guide,new-functional-guide,/content/sensory-sensitivities,,https://www.autism.org.uk/advice-and-guidance/topics/sensory-differences
verified,الذكاء الاصطناعي لدعم التعلم الشامل,التقنية المساعدة,89,40,20,20,ai-inclusive-learning,assistive-technology,guide,new-strategic-guide,/content/ai-inclusive-learning,,https://www.unesco.org/en/digital-education
verified,الرهاب الاجتماعي عند المراهقين,علم النفس,89,40,20,20,adolescent-social-anxiety,child-adolescent-mental-health,guide,child-guide-under-pr-183-condition,/content/adolescent-social-anxiety,,https://www.nimh.nih.gov/health/topics/anxiety-disorders
verified,السلوك العدواني والسلوك التحدي عند الأطفال,علم النفس,89,40,20,20,child-aggressive-challenging-behavior,child-behavior,guide,new-practice-guide,/content/child-aggressive-challenging-behavior,,https://www.aacap.org/
verified,العلاج النطقي واللغوي للأطفال,العلاج والتأهيل,89,40,20,20,speech-language-therapy-children,speech-language,guide,new-service-guide,/content/speech-language-therapy-children,,https://www.asha.org/public/speech/development/
verified,العلاج الوظيفي للأطفال,العلاج والتأهيل,89,40,20,20,occupational-therapy-children,rehabilitation,guide,new-service-guide,/content/occupational-therapy-children,,https://www.aota.org/
verified,الوسواس القهري عند الأطفال,علم النفس,89,40,20,20,child-ocd,child-adolescent-mental-health,guide,child-guide-under-pr-183-condition,/content/child-ocd,,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd
baseline,الإعاقة البصرية,ذوي الاحتياجات الخاصة,88,45,20,25,visual-impairment,motor-sensory-disabilities,capability,existing-canonical-gap-audit,/capabilities/visual-impairment/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
baseline,الإعاقة السمعية,ذوي الاحتياجات الخاصة,88,45,20,25,hearing-loss,motor-sensory-disabilities,capability,existing-canonical,/capabilities/hearing-loss/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
baseline,التكنولوجيا المساندة,التربية الدامجة,88,45,20,25,assistive-technology,assistive-technology,guide,merge-alias,/content/assistive-technology,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences | https://www.unicef.org/education/inclusive-education
baseline,غرفة المصادر,التربية الدامجة,88,45,20,25,resource-room,inclusive-education,guide,jurisdiction-aware-guide,/content/resource-room,,https://www.understood.org/en/topics/ieps
verified,اضطراب التحدي المعارض ODD,علم النفس,88,40,20,20,oppositional-defiant-disorder,child-behavior,condition,new-condition-after-gap-audit,/content/oppositional-defiant-disorder,,https://www.aacap.org/
verified,المهارات الاجتماعية للطلاب المتوحدين,التوحد,88,40,20,20,autistic-student-social-skills,autism,guide,new-page-after-gap-audit,/content/autistic-student-social-skills,,https://www.autism.org.uk/advice-and-guidance/topics/communication
baseline,الإعاقة الحركية,ذوي الاحتياجات الخاصة,87,45,20,25,physical-disability,motor-sensory-disabilities,capability,existing-canonical-gap-audit,/capabilities/physical-disability/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
verified,ADHD واستخدام الشاشات,ADHD,87,40,20,20,adhd-screen-use,adhd,guide,new-page-after-gap-audit,/content/adhd-screen-use,,https://www.cdc.gov/adhd/
verified,فرط التركيز Hyperfocus في ADHD,ADHD,86,40,20,20,adhd-hyperfocus,adhd,guide,new-page-with-nondiagnostic-language,/content/adhd-hyperfocus,,https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd
verified,التوحد واستخدام الشاشات,التوحد,85,40,20,20,autism-screen-use,autism,guide,new-page-after-gap-audit,/content/autism-screen-use,,https://www.cdc.gov/autism/
verified,تحليل السلوك التطبيقي ABA,التوحد,85,40,20,20,applied-behavior-analysis,autism,guide,new-evidence-and-ethics-guide,/content/applied-behavior-analysis,,https://www.autism.org.uk/advice-and-guidance/topics/strategies-and-interventions
baseline,الموهبة وصعوبات التعلم,ذوي الاحتياجات الخاصة,84,45,20,25,twice-exceptional-learning-disabilities,learning-disorders,guide,new-page-after-gap-audit,/content/twice-exceptional-learning-disabilities,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
verified,التعليم المنزلي والبدائل التعليمية لذوي الإعاقة,التربية الخاصة,84,40,20,20,homeschooling-disability-alternatives,inclusive-education,guide,new-jurisdiction-aware-guide,/content/homeschooling-disability-alternatives,,https://www.unesco.org/en/inclusion-education
