source_file,topic,domain,priority_max,intent_count,keyword_count,question_count,canonical_id,cluster,content_type,action,route_candidate,coordination,source_urls
baseline,التنمر,علم النفس,93,20,20,0,bullying,child-adolescent-mental-health,guide,existing-canonical-upgrade,/content/bullying,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health | https://www.unicef.org/education/inclusive-education
baseline,المهارات الاجتماعية للأطفال,علم النفس,93,20,20,0,children-social-skills,child-development,guide,new-parent-guide-after-gap-audit,/content/children-social-skills,,https://www.cdc.gov/autism/signs-symptoms/index.html | https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health
baseline,الوسواس القهري,علم النفس,93,45,20,25,obsessive-compulsive-disorder,mental-health,condition,new-condition-in-pr-183,/content/obsessive-compulsive-disorder,,https://www.nimh.nih.gov/health/topics
baseline,عسر الحساب,ذوي الاحتياجات الخاصة,93,45,20,25,dyscalculia,learning-disorders,capability,merge-alias,/capabilities/dyscalculia/,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,عسر الكتابة,ذوي الاحتياجات الخاصة,93,45,20,25,dysgraphia,learning-disorders,capability,merge-alias,/capabilities/dysgraphia/,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,نوبات الهلع,علم النفس,93,45,20,25,panic-disorder-safe-guide,mental-health,guide,existing-canonical-upgrade-in-pr-183,/evidence-guides/panic-disorder-safe-guide/,,https://www.nimh.nih.gov/health/topics
verified,الانهيار الحسي Meltdown مقابل نوبة الغضب,التوحد,93,40,20,20,meltdown-vs-tantrum,sensory-processing,comparison,upgrade-legacy-quick-info-or-comparison,/comparisons/meltdown-vs-tantrum/,Legacy quick-info exists; preserve historical route with redirect.,https://www.autism.org.uk/advice-and-guidance/topics/behaviour/meltdowns/all-audiences
verified,التدخل المبكر للأطفال ذوي التأخر النمائي,التربية الخاصة,93,40,20,20,early-intervention-developmental-delay,early-intervention,guide,merge-with-baseline-topic,/content/early-intervention-developmental-delay,,https://www.cdc.gov/ncbddd/actearly/
verified,التنظيم العاطفي لدى الأطفال ذوي ADHD,ADHD,93,40,20,20,adhd-emotional-regulation,adhd,guide,new-page-after-gap-audit,/content/adhd-emotional-regulation,,https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd
verified,العودة إلى المدرسة بعد الغياب والقلق,التربية الدامجة,93,40,20,20,school-reentry-after-anxiety,school-attendance,guide,new-practice-guide-after-parent-canonical-decision,/content/school-reentry-after-anxiety,,https://link.springer.com/article/10.1007/s40489-026-00554-0
verified,القلق عند الأطفال,علم النفس,93,40,20,20,child-anxiety,child-adolescent-mental-health,guide,child-guide-not-general-condition,/content/child-anxiety,,https://www.nimh.nih.gov/health/topics/anxiety-disorders
verified,الوظائف التنفيذية في ADHD,ADHD,93,40,20,20,adhd-executive-functions,adhd,guide,new-page-or-upgrade-existing-path,/content/adhd-executive-functions,,https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd
baseline,اضطراب ما بعد الصدمة,علم النفس,92,20,20,0,ptsd,trauma,condition,existing-canonical-gap-audit,/content/ptsd,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
verified,الاكتئاب عند المراهقين,علم النفس,92,40,20,20,adolescent-depression,child-adolescent-mental-health,guide,coordinate-with-pr-183,/content/adolescent-depression,PR 183 contains staged files but progress.v2 does not mark this page V6-passed.,https://www.nimh.nih.gov/health/topics/depression
verified,الخطة التربوية الفردية IEP,التربية الخاصة,92,40,20,20,individualized-education-plan,iep-accommodations,guide,merge-with-baseline-aliases-and-upgrade-legacy,/content/individualized-education-plan,,https://sites.ed.gov/idea/
verified,تكييفات الصف للطلاب المتوحدين,التربية الدامجة,92,40,20,20,autism-classroom-accommodations,iep-accommodations,guide,specific-child-guide,/content/autism-classroom-accommodations,,https://www.autism.org.uk/advice-and-guidance/topics/education
verified,تكييفات الصف للطلاب ذوي ADHD,التربية الدامجة,92,40,20,20,adhd-classroom-accommodations,iep-accommodations,guide,specific-child-guide,/content/adhd-classroom-accommodations,,https://www.cdc.gov/adhd/treatment/classroom.html
verified,خطة 504 والفرق بينها وبين IEP,التربية الدامجة,92,40,20,20,section-504-vs-iep,iep-accommodations,comparison,new-comparison-with-jurisdiction-warning,/comparisons/section-504-vs-iep/,,https://www.ed.gov/laws-and-policy/civil-rights-laws/disability-discrimination
verified,عسر القراءة Dyslexia,صعوبات التعلم,92,40,20,20,dyslexia,learning-disorders,capability,merge-with-baseline-aliases,/capabilities/dyslexia/,,https://dyslexiaida.org/
baseline,اضطراب المعالجة الحسية,ذوي الاحتياجات الخاصة,91,45,20,25,sensory-processing,sensory-processing,capability,terminology-and-canonical-review,/capabilities/sensory-processing/,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
