source_file,topic,domain,priority_max,intent_count,keyword_count,question_count,canonical_id,cluster,content_type,action,route_candidate,coordination,source_urls
baseline,الضغط النفسي,علم النفس,96,20,20,0,stress,stress-burnout,guide,new-central-guide-after-gap-audit,/content/stress,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
baseline,علم النفس,علم النفس,96,20,20,0,psychology-library-hub,psychology-library,landing_page,upgrade-library-hub,/library/,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
verified,اضطراب اللغة النمائي DLD ومهارات القراءة,اضطرابات اللغة,96,40,20,20,dld-reading-skills,speech-language,guide,child-page-under-existing-capability,/content/dld-reading-skills,Parent capability already routes to /capabilities/developmental-language-disorder/.,https://pubmed.ncbi.nlm.nih.gov/42467730/
verified,الرفاه النفسي للطلاب المتوحدين في المدرسة,التربية الدامجة,96,40,20,20,autistic-student-school-wellbeing,inclusive-education,guide,new-page-after-gap-audit,/content/autistic-student-school-wellbeing,,https://link.springer.com/article/10.1007/s40489-026-00540-6
baseline,الخطة التربوية الفردية,التربية الدامجة,95,45,20,25,individualized-education-plan,iep-accommodations,guide,merge-alias,/content/individualized-education-plan,,https://www.understood.org/en/topics/ieps
baseline,الديسلكسيا,ذوي الاحتياجات الخاصة,95,45,20,25,dyslexia,learning-disorders,capability,merge-alias,/capabilities/dyslexia/,,https://www.readingrockets.org/topics/dyslexia/articles/faqs-about-dyslexia
baseline,تأخر الكلام عند الأطفال,ذوي الاحتياجات الخاصة,95,45,20,25,speech-delay-children,speech-language,guide,new-central-guide-after-gap-audit,/content/speech-delay-children,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health | https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,مشكلات السلوك عند الأطفال,علم النفس,95,20,20,0,child-behavior-problems,child-behavior,guide,new-central-guide-after-gap-audit,/content/child-behavior-problems,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health
verified,التدخلات الصفية للغة لدى طلاب DLD,التربية الدامجة,95,40,20,20,dld-classroom-language-interventions,speech-language,guide,new-practice-guide,/content/dld-classroom-language-interventions,,https://pubmed.ncbi.nlm.nih.gov/42273712/
verified,المعالجة الحسية المشتركة في التوحد وADHD,التكامل الحسي,95,40,20,20,autism-adhd-sensory-processing,sensory-processing,guide,upgrade-and-synthesize-existing-research,/content/autism-adhd-sensory-processing,,https://pubmed.ncbi.nlm.nih.gov/42376236/
baseline,التقييم والتشخيص النفسي التربوي,التربية الدامجة,94,45,20,25,psychoeducational-assessment,assessment,guide,new-evidence-guide,/content/psychoeducational-assessment,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health | https://www.understood.org/en/topics/ieps
baseline,التكييفات الصفية,التربية الدامجة,94,45,20,25,classroom-accommodations,iep-accommodations,guide,generic-parent-guide,/content/classroom-accommodations,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences | https://www.understood.org/en/topics/ieps
verified,الاحتراق التوحدي Autistic burnout,التوحد,94,40,20,20,autistic-burnout,autism,guide,new-page-after-gap-audit,/content/autistic-burnout,,https://www.autism.org.uk/advice-and-guidance/topics/mental-health/autistic-fatigue
verified,التشخيص المتأخر للتوحد,التوحد,94,40,20,20,late-autism-diagnosis,autism,guide,new-page-after-gap-audit,/content/late-autism-diagnosis,,https://www.cdc.gov/autism/
verified,تشخيص ADHD عند الأطفال والمراهقين,ADHD,94,40,20,20,adhd-diagnosis-child-adolescent,adhd,guide,section-or-child-guide-after-gap-audit,/content/adhd-diagnosis-child-adolescent,Do not duplicate /capabilities/adhd/.,https://www.cdc.gov/adhd/
baseline,IEP,التربية الدامجة,93,45,20,25,individualized-education-plan,iep-accommodations,guide,merge-alias,/content/individualized-education-plan,,https://www.understood.org/en/topics/ieps
baseline,إدارة السلوك في الصف,التربية الدامجة,93,45,20,25,classroom-behavior-management,inclusive-education,guide,new-practice-guide,/content/classroom-behavior-management,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health | https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,استراتيجيات تدريس ذوي الاحتياجات الخاصة,التربية الدامجة,93,45,20,25,special-education-teaching-strategies,inclusive-education,guide,new-practice-guide,/content/special-education-teaching-strategies,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences | https://www.unicef.org/education/inclusive-education
baseline,اضطرابات النطق واللغة,ذوي الاحتياجات الخاصة,93,45,20,25,speech-language-disorders,speech-language,capability,capability-map-review,/capabilities/speech-language-disorders/,,https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences | https://www.unicef.org/education/inclusive-education
baseline,الإعاقة الذهنية,ذوي الاحتياجات الخاصة,93,45,20,25,intellectual-disability,intellectual-developmental,capability,existing-canonical,/capabilities/intellectual-disability/,,https://www.unicef.org/education/inclusive-education | https://www.who.int/news-room/fact-sheets/detail/disability-and-health
