source_file,topic,domain,priority_max,intent_count,keyword_count,question_count,canonical_id,cluster,content_type,action,route_candidate,coordination,source_urls
baseline,التوحد,ذوي الاحتياجات الخاصة,100,46,21,25,autism-spectrum-disorder,autism,capability,merge-alias,/capabilities/autism/,,https://www.cdc.gov/autism/signs-symptoms/index.html | https://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-asd | https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-%28asd%29
verified,القلق المدرسي لدى الأطفال المتوحدين,التوحد,100,40,20,20,autistic-student-school-anxiety,school-attendance,guide,gap-audit-before-new-page,/content/autistic-student-school-anxiety,Coordinate with school-refusal and school-attendance-distress canonicals.,https://link.springer.com/article/10.1007/s12310-026-09852-8
verified,رفض المدرسة لدى الطلاب ذوي التنوع العصبي,التربية الدامجة,100,40,20,20,school-refusal-neurodivergent,school-attendance,guide,canonical-conflict-review,/content/school-attendance-distress,PR 183 stages /content/school-refusal while current redirect evidence points to /content/school-attendance-distress. One canonical must win.,https://link.springer.com/article/10.1007/s40489-026-00554-0
baseline,اضطراب طيف التوحد,ذوي الاحتياجات الخاصة,99,45,20,25,autism-spectrum-disorder,autism,capability,existing-canonical,/capabilities/autism/,,https://www.cdc.gov/autism/signs-symptoms/index.html | https://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-asd | https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-%28asd%29
baseline,الصحة النفسية,علم النفس,99,44,19,25,mental-health-hub,mental-health,landing_page,hub-gap-audit,/mental-health/,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
baseline,فرط الحركة وتشتت الانتباه,ذوي الاحتياجات الخاصة,99,45,20,25,adhd,adhd,capability,existing-canonical,/capabilities/adhd/,,https://www.cdc.gov/adhd/signs-symptoms/index.html | https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd
verified,تجنب المطالب PDA / EDA,التوحد,99,40,20,20,demand-avoidance-pda-eda,autism,guide,new-page-after-evidence-review,/content/demand-avoidance-pda-eda,Must state that PDA/EDA terminology and diagnostic status vary across systems.,https://link.springer.com/article/10.1007/s10803-026-07432-y
baseline,ADHD,ذوي الاحتياجات الخاصة,98,45,20,25,adhd,adhd,capability,merge-alias,/capabilities/adhd/,,https://www.cdc.gov/adhd/signs-symptoms/index.html | https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd
baseline,الاكتئاب,علم النفس,98,45,20,25,depression,mental-health,condition,existing-canonical-upgrade-in-pr-183,/content/depression,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
baseline,التربية الدامجة,التربية الدامجة,98,45,20,25,inclusive-education,inclusive-education,landing_page,merge-alias-and-upgrade-legacy-hub,/schools/,,https://www.unesco.org/en/articles/jordan-launches-national-framework-inclusion-and-diversity-education-unesco | https://www.unicef.org/education/inclusive-education
baseline,القلق,علم النفس,98,45,20,25,anxiety-overview,mental-health,guide,hub-and-condition-map-review,/evidence-guides/clinical-anxiety/,,https://www.nimh.nih.gov/health/topics | https://www.who.int/health-topics/mental-health
baseline,صعوبات التعلم,ذوي الاحتياجات الخاصة,98,45,20,25,specific-learning-disabilities,learning-disorders,capability,existing-or-gap-audit,/capabilities/specific-learning-disabilities/,,https://www.readingrockets.org/topics/dyslexia/articles/faqs-about-dyslexia | https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
baseline,عسر القراءة,ذوي الاحتياجات الخاصة,98,45,20,25,dyslexia,learning-disorders,capability,merge-alias,/capabilities/dyslexia/,,https://www.readingrockets.org/topics/dyslexia/articles/faqs-about-dyslexia | https://www.understood.org/en/articles/classroom-accommodations-to-help-students-with-learning-and-thinking-differences
verified,ADHD عند البنات والتشخيص المتأخر,ADHD,98,40,20,20,adhd-girls-late-diagnosis,adhd,guide,new-page-after-gap-audit,/content/adhd-girls-late-diagnosis,,https://pubmed.ncbi.nlm.nih.gov/41804225/
verified,AuDHD: اجتماع التوحد وADHD,التنوع العصبي,98,40,20,20,autism-adhd-cooccurrence,autism-adhd,guide,upgrade-legacy-canonical,/evidence-guides/autism-adhd-differences-guide/,Legacy evidence-guide exists and is currently unmapped; upgrade instead of competing page.,https://pubmed.ncbi.nlm.nih.gov/42376236/
baseline,التربية الخاصة,التربية الدامجة,97,45,20,25,special-education,inclusive-education,landing_page,upgrade-legacy-learning-path,/learning-paths/special-education/,,https://www.unesco.org/en/articles/jordan-launches-national-framework-inclusion-and-diversity-education-unesco | https://www.unicef.org/education/inclusive-education
baseline,الدمج المدرسي,التربية الدامجة,97,45,20,25,inclusive-education,inclusive-education,landing_page,merge-alias,/schools/,,https://www.unesco.org/en/articles/jordan-launches-national-framework-inclusion-and-diversity-education-unesco | https://www.unicef.org/education/inclusive-education
baseline,الصحة النفسية للمراهقين,علم النفس,97,20,20,0,adolescent-mental-health,child-adolescent-mental-health,landing_page,upgrade-sector-hub,/sectors/youth/,,https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health | https://www.who.int/health-topics/mental-health
verified,الإخفاء الاجتماعي والتوقف عن Masking,التوحد,97,40,20,20,autistic-masking,autism,guide,new-central-guide-after-gap-audit,/content/autistic-masking,,https://pubmed.ncbi.nlm.nih.gov/42435102/
baseline,التدخل المبكر,التربية الدامجة,96,45,20,25,early-intervention-developmental-delay,early-intervention,guide,merge-with-verified-topic,/content/early-intervention-developmental-delay,,https://www.cdc.gov/autism/signs-symptoms/index.html | https://www.unicef.org/education/inclusive-education
